full_name,mentions_match
Kylan Boswell,Boswell
Dailyn Swain,Swain
Tobe Awaka,Awaka
Jaylin Sellers,Sellers
Ernest Udeh,Udeh
Sergio De Larrea,De Larrea
Tarik Biberovic,Biberovic
Tobi Lawal,Lawal
Trevon Brazile,Brazile
Ebuka Okorie,Okorie
Ugonna Onyenso,Onyenso
Yaxel Lendeborg,Lendeborg
Bruce Thornton,Thornton
Keaton Wagler,Wagler
Nick Martinelli,Martinelli
Cameron Carr,Carr
Peter Suder,Suder
AK Okereke,Okereke
Ryan Conwell,Conwell
Tre Donaldson,Donaldson
Brayden Burries,Burries
Nate Ament,Ament
Bogoljub Markovic,Markovic
Aday Mara,Mara
Bennett Stirtz,Stirtz
Otega Oweh,Oweh
Josh Dix,Dix
Labaron Philon,Philon
Duke Miles,Miles
Koa Peat,Peat
Darius Acuff,Acuff
Alex Karaban,Karaban
Emanuel Sharp,Sharp
Jayden Quaintance,Quaintance
Allen Graves,Graves
Nate Bittle,Bittle
Jaden Bradley,Bradley
Darryn Peterson,Peterson
Tamar Bates,Bates
AJ Dybantsa,Dybantsa
Felix Okpara,Okpara
Richie Saunders,Saunders
Isaiah Evans,Evans
Jack Kayil,Kayil
Tyler Nickel,Nickel
Bryce Hopkins,Hopkins
Vsevolod Ishchenko,Ishchenko
Narcisse Ngoy,Ngoy
Jaron Pierre,Pierre
Trey Kaufman-Renn,Kaufman-Renn
Malique Lewis,Lewis
